type,cpu,ram,price
d3en.6xlarge,24,96 GiB,$3.848 per Hour
d3en.8xlarge,32,128 GiB,$5.13104 per Hour
d3en.12xlarge,48,192 GiB,$7.69656 per Hour
d2.xlarge,4,30.5 GiB,$0.735 per Hour
d2.2xlarge,8,61 GiB,$1.47 per Hour
d2.4xlarge,16,122 GiB,$2.94 per Hour
d2.8xlarge,36,244 GiB,$5.88 per Hour
f1.2xlarge,8,122 GiB,$1.815 per Hour
f1.4xlarge,16,244 GiB,$3.63 per Hour
f1.16xlarge,64,976 GiB,$14.52 per Hour
inf1.xlarge,4,8 GiB,$0.41 per Hour
inf1.2xlarge,8,16 GiB,$0.651 per Hour
inf1.6xlarge,24,48 GiB,$2.121 per Hour
inf1.24xlarge,96,192 GiB,$8.484 per Hour
